<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLW,D,20170526,000000,43.7646,43.7646,42.2235,42.2235,239.43999297133433,0
PLW,D,20170529,000000,43.7646,44.0737,41.415,44.0737,483.66878580209544,0
PLW,D,20170530,000000,44.0654,44.9976,42.1083,44.9976,3811.8846881036425,0
PLW,D,20170531,000000,44.9976,45.6523,43.9117,43.9117,2411.1607292213366,0
PLW,D,20170601,000000,43.9117,45.69,43.9117,45.2288,1823.335546476711,0
PLW,D,20170602,000000,45.4519,45.4519,44.4963,44.574,243.03159286590434,0
PLW,D,20170605,000000,45.2063,46.0767,45.198,45.4595,798.5323765594001,0
PLW,D,20170606,000000,46.1302,46.1302,44.6901,46.0767,1180.4391653486782,0
PLW,D,20170607,000000,46.1302,46.1302,44.6901,45.9221,6796.504200491326,0
PLW,D,20170608,000000,46.1151,46.1151,45.9999,45.9999,14.36639957828006,0
PLW,D,20170609,000000,46.1302,46.1302,46.1226,46.1226,2.394399929713343,0
PLW,D,20170612,000000,45.36,45.4451,42.3855,44.6133,1327.694761026049,0
PLW,D,20170613,000000,44.6901,46.2303,44.6901,45.4519,6335.582214021506,0
PLW,D,20170614,000000,45.4595,46.6922,45.0208,46.5386,14944.647161305833,0
PLW,D,20170616,000000,46.2303,46.9095,46.2303,46.6162,744.6583781408498,0
PLW,D,20170619,000000,46.3081,46.5386,46.2303,46.5386,1998.1267413457854,0
PLW,D,20170620,000000,47.0005,47.0005,44.3042,44.3042,8254.693757686751,0
PLW,D,20170621,000000,44.6901,44.6901,44.3042,44.6133,1617.4171525213635,0
PLW,D,20170622,000000,45.4595,46.8468,45.0827,45.8453,7788.982971357505,0
PLW,D,20170623,000000,46.2303,46.2303,45.4595,46.2078,489.6547856263787,0
PLW,D,20170626,000000,46.2303,46.2303,44.3811,46.2153,1031.986369706451,0
PLW,D,20170627,000000,46.2153,46.2153,45.4595,45.4595,136.48079599366056,0
PLW,D,20170628,000000,45.8453,46.2303,45.4595,45.6139,969.731971533904,0
PLW,D,20170629,000000,45.8453,46.2303,45.4595,46.2303,498.0351853803754,0
PLW,D,20170630,000000,46.2303,47.0005,45.5447,46.9779,3257.5811043750036,0
PLW,D,20170703,000000,46.9779,47.7715,46.9779,47.5935,4798.37745914554,0
PLW,D,20170704,000000,47.6178,47.7631,47.0398,47.5175,1646.1499516779236,0
PLW,D,20170705,000000,47.5025,47.5025,45.8453,45.8453,1795.7999472850074,0
PLW,D,20170706,000000,46.608,46.608,45.5371,46.1461,1037.9723695307343,0
PLW,D,20170707,000000,46.1536,47.2093,46.1536,47.2093,329.2299903355847,0
PLW,D,20170710,000000,48.1574,48.1574,47.7715,47.7715,1920.3087436301014,0
PLW,D,20170711,000000,47.7715,48.0638,46.2303,46.3081,1873.6179450006912,0
PLW,D,20170712,000000,47.0005,47.0005,46.6162,46.6162,919.4495730099238,0
PLW,D,20170713,000000,47.0005,47.0005,46.2303,46.993,229.86239325248096,0
PLW,D,20170714,000000,46.993,47.0005,45.8453,46.9162,571.0643832366325,0
PLW,D,20170717,000000,46.9244,47.0005,45.8838,47.0005,1272.6235626426421,0
PLW,D,20170718,000000,47.3789,47.3789,45.9221,46.2303,878.7447742047971,0
PLW,D,20170719,000000,47.0005,47.2244,46.2303,47.0005,1646.1499516779236,0
PLW,D,20170720,000000,47.0781,47.0781,47.0005,47.0005,529.1623844666489,0
PLW,D,20170721,000000,47.0781,47.2319,45.0743,46.2303,2663.7699218060943,0
PLW,D,20170724,000000,46.1536,46.1536,41.5386,43.6117,19085.76183974506,0
PLW,D,20170725,000000,44.5347,46.1461,44.4579,45.375,6091.353421190745,0
PLW,D,20170726,000000,45.36,45.761,44.6901,45.4595,2692.5027209626546,0
PLW,D,20170727,000000,43.3411,46.0767,43.3411,46.0767,10780.78568353433,0
PLW,D,20170728,000000,46.7691,46.7691,44.7126,46.2229,42696.93954664834,0
PLW,D,20170731,000000,47.0005,47.3863,45.0743,46.993,7726.728573184959,0
PLW,D,20170801,000000,47.1551,47.1551,45.9071,46.6162,4161.467077841791,0
PLW,D,20170802,000000,47.3863,47.3863,46.2303,46.9629,6348.751413634929,0
PLW,D,20170803,000000,47.0005,47.0005,45.7684,46.3774,1874.8151449655477,0
PLW,D,20170804,000000,46.5386,46.5386,44.8054,46.192,1151.7063661921184,0
PLW,D,20170807,000000,46.1844,46.1844,44.7126,46.1844,3063.634710068223,0
PLW,D,20170808,000000,46.1461,46.1536,45.2063,45.4827,6802.4902003156085,0
PLW,D,20170809,000000,46.0926,46.0926,43.1557,44.3042,6394.245012299483,0
PLW,D,20170810,000000,45.8453,45.8453,43.5725,44.6901,1270.2291627129284,0
PLW,D,20170811,000000,45.69,45.69,43.1482,44.6901,459.7247865049619,0
PLW,D,20170814,000000,45.4595,45.4595,43.9182,44.6901,1300.1591618343455,0
PLW,D,20170816,000000,44.6901,44.6901,43.1557,44.6901,2050.8035397994786,0
PLW,D,20170817,000000,44.6826,44.6826,43.2333,43.9182,362.7515893515715,0
PLW,D,20170818,000000,43.3411,43.6117,42.3789,43.2258,1780.2363477418705,0
PLW,D,20170821,000000,44.6517,46.1302,44.2265,45.0677,11588.895659812582,0
PLW,D,20170822,000000,45.1904,45.8453,45.1904,45.8378,7773.419371814369,0
PLW,D,20170823,000000,46.1151,46.192,45.4595,45.8453,1066.7051686872946,0
PLW,D,20170824,000000,45.8453,45.8453,45.4761,45.73,5523.880637848684,0
PLW,D,20170825,000000,45.8453,45.8453,45.6139,45.6139,5262.891045509929,0
PLW,D,20170828,000000,46.2303,46.2303,45.4595,45.4595,10216.904500086835,0
PLW,D,20170829,000000,46.2078,46.2078,45.4595,45.9831,13227.862411701366,0
PLW,D,20170830,000000,45.8453,47.3863,45.7684,47.3863,9346.540125636036,0
PLW,D,20170831,000000,47.7715,48.3879,47.0005,47.7715,35039.64857142507,0
PLW,D,20170901,000000,47.7715,48.7496,47.7715,48.7496,15571.979942890728,0
PLW,D,20170904,000000,48.5349,49.3042,48.5349,49.1513,8527.655349674073,0
PLW,D,20170905,000000,49.1513,49.3042,48.773,49.2198,6114.1002205230225,0
PLW,D,20170906,000000,49.1588,49.1588,48.773,48.773,11726.573655771099,0
PLW,D,20170907,000000,48.9275,48.9275,46.3081,47.7715,8868.857339658225,0
PLW,D,20170908,000000,47.7715,48.8423,47.7715,48.773,840.4343753293836,0
PLW,D,20170911,000000,49.2357,51.0466,49.1588,51.0466,83189.83395799555,0
PLW,D,20170912,000000,51.5394,53.0103,50.0826,52.5484,16305.86352134787,0
PLW,D,20170913,000000,52.5484,53.1657,52.3948,53.0103,7903.914167983747,0
PLW,D,20170914,000000,52.6637,52.6637,50.8612,52.4558,5588.5294359509435,0
PLW,D,20170915,000000,52.4023,52.4023,51.2388,52.0097,4891.759056404361,0
PLW,D,20170918,000000,52.0097,56.0165,52.0097,55.0911,6150.016219468722,0
PLW,D,20170919,000000,54.706,55.8545,52.7029,53.6268,4940.844254963484,0
PLW,D,20170920,000000,54.306,54.306,52.7114,52.7114,2158.551536636579,0
PLW,D,20170921,000000,53.0805,53.1657,51.2463,52.3714,4945.633054822911,0
PLW,D,20170922,000000,52.3564,52.3564,50.8537,51.8551,1508.4719557194062,0
PLW,D,20170925,000000,51.4701,51.4701,49.275,49.351,12509.542432787362,0
PLW,D,20170926,000000,50.0826,50.0826,46.6539,48.92,5920.153826216242,0
PLW,D,20170927,000000,48.5416,51.5469,47.7798,50.7375,3432.372299244078,0
