<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDR,D,19950221,000000,4.58315,4.58315,4.58315,4.58315,33825.519931531,0
CDR,D,19950222,000000,4.63891,4.63891,4.63891,4.63891,18749.107967263,0
CDR,D,19950223,000000,4.72258,4.72258,4.72258,4.72258,25961.171159966,0
CDR,D,19950224,000000,5.18737,5.18737,5.18737,5.18737,98949.465979632,0
CDR,D,19950227,000000,4.67626,4.67626,4.67626,4.67626,27779.571051983,0
CDR,D,19950228,000000,4.69479,4.69479,4.69479,4.69479,18514.244134623,0
CDR,D,19950301,000000,4.75982,4.75982,4.75982,4.75982,12084.718515304,0
CDR,D,19950302,000000,4.88988,4.88988,4.88988,4.88988,16450.724347405,0
CDR,D,19950303,000000,4.95492,4.95492,4.95492,4.95492,15246.662602775,0
CDR,D,19950306,000000,4.9364,4.9364,4.9364,4.9364,29298.493917227,0
CDR,D,19950307,000000,4.88988,4.88988,4.88988,4.88988,27692.394520217,0
CDR,D,19950308,000000,4.95492,4.95492,4.95492,4.95492,11914.467876796,0
CDR,D,19950309,000000,4.97365,4.97365,4.97365,4.97365,16698.921061375,0
CDR,D,19950310,000000,4.90861,4.90861,4.90861,4.90861,26461.66701293,0
CDR,D,19950313,000000,4.87136,4.87136,4.87136,4.87136,29340.543773726,0
CDR,D,19950314,000000,4.79697,4.79697,4.79697,4.79697,8343.3068931509,0
CDR,D,19950315,000000,4.88988,4.88988,4.88988,4.88988,11343.205192163,0
CDR,D,19950316,000000,4.79697,4.79697,4.79697,4.79697,10005.814634245,0
CDR,D,19950317,000000,4.81559,4.81559,4.81559,4.81559,19621.898891182,0
CDR,D,19950320,000000,4.74109,4.74109,4.74109,4.74109,18678.341135595,0
CDR,D,19950321,000000,4.75982,4.75982,4.75982,4.75982,15553.318873342,0
CDR,D,19950322,000000,4.74109,4.74109,4.74109,4.74109,16778.918349348,0
